target,origin,year,refugees
Austria,Afghanistan,2013,11906
Azerbaijan,Afghanistan,2013,603
Belarus,Afghanistan,2013,405
Belgium,Afghanistan,2013,4328
Bulgaria,Afghanistan,2013,268
Croatia,Afghanistan,2013,20
Cyprus,Afghanistan,2013,7
Czechia,Afghanistan,2013,238
Denmark,Afghanistan,2013,2139
Estonia,Afghanistan,2013,15
Finland,Afghanistan,2013,1357
France,Afghanistan,2013,3213
Georgia,Afghanistan,2013,3
Germany,Afghanistan,2013,24203
Greece,Afghanistan,2013,632
Hungary,Afghanistan,2013,749
Iceland,Afghanistan,2013,6
Ireland,Afghanistan,2013,129
Italy,Afghanistan,2013,6657
Kazakhstan,Afghanistan,2013,537
Latvia,Afghanistan,2013,28
Lithuania,Afghanistan,2013,154
Luxembourg,Afghanistan,2013,27
Netherlands,Afghanistan,2013,6269
Norway,Afghanistan,2013,5523
Poland,Afghanistan,2013,88
Portugal,Afghanistan,2013,9
Romania,Afghanistan,2013,106
Russian Federation,Afghanistan,2013,1117
Slovakia,Afghanistan,2013,225
Spain,Afghanistan,2013,114
Sweden,Afghanistan,2013,10499
Switzerland,Afghanistan,2013,2578
Turkey,Afghanistan,2013,3926
Ukraine,Afghanistan,2013,1494
United Kingdom,Afghanistan,2013,9166
Austria,Albania,2013,125
Belgium,Albania,2013,398
Bulgaria,Albania,2013,5
Czechia,Albania,2013,17
Denmark,Albania,2013,45
Finland,Albania,2013,8
France,Albania,2013,1925
Germany,Albania,2013,296
Greece,Albania,2013,52
Hungary,Albania,2013,3
Iceland,Albania,2013,3
Ireland,Albania,2013,70
Italy,Albania,2013,199
Luxembourg,Albania,2013,65
Netherlands,Albania,2013,17
Norway,Albania,2013,43
Portugal,Albania,2013,2
Spain,Albania,2013,15
Sweden,Albania,2013,252
Switzerland,Albania,2013,42
United Kingdom,Albania,2013,1171
Austria,Algeria,2013,51
Belgium,Algeria,2013,28
Bosnia and Herzegovina,Algeria,2013,1
Bulgaria,Algeria,2013,1
Cyprus,Algeria,2013,4
Czechia,Algeria,2013,1
Denmark,Algeria,2013,9
Estonia,Algeria,2013,2
Finland,Algeria,2013,20
France,Algeria,2013,1333
Germany,Algeria,2013,307
Greece,Algeria,2013,16
Hungary,Algeria,2013,7
Ireland,Algeria,2013,194
Italy,Algeria,2013,91
Luxembourg,Algeria,2013,1
Netherlands,Algeria,2013,32
Norway,Algeria,2013,34
Poland,Algeria,2013,3
