"SEX","AGE","GEO","CITIZEN","ASYL_APP","UNIT","TIME","Value","Flag and Footnotes"
"Total","Total","European Union (current composition)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,260,910",""
"Total","Total","European Union (current composition)","Extra-EU28 (current composition)","First time applicant","Person","2016","1,206,045",""
"Total","Total","Belgium","Extra-EU28 (current composition)","Asylum applicant","Person","2016","18,280",""
"Total","Total","Belgium","Extra-EU28 (current composition)","First time applicant","Person","2016","14,250",""
"Total","Total","Bulgaria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","19,420",""
"Total","Total","Bulgaria","Extra-EU28 (current composition)","First time applicant","Person","2016","18,990",""
"Total","Total","Czech Republic","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,475",""
"Total","Total","Czech Republic","Extra-EU28 (current composition)","First time applicant","Person","2016","1,200",""
"Total","Total","Denmark","Extra-EU28 (current composition)","Asylum applicant","Person","2016","6,180",""
"Total","Total","Denmark","Extra-EU28 (current composition)","First time applicant","Person","2016","6,055",""
"Total","Total","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","745,155",""
"Total","Total","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","First time applicant","Person","2016","722,265",""
"Total","Total","Estonia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","175",""
"Total","Total","Estonia","Extra-EU28 (current composition)","First time applicant","Person","2016","150",""
"Total","Total","Ireland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,245",""
"Total","Total","Ireland","Extra-EU28 (current composition)","First time applicant","Person","2016","2,235",""
"Total","Total","Greece","Extra-EU28 (current composition)","Asylum applicant","Person","2016","51,110",""
"Total","Total","Greece","Extra-EU28 (current composition)","First time applicant","Person","2016","49,875",""
"Total","Total","Spain","Extra-EU28 (current composition)","Asylum applicant","Person","2016","15,755",""
"Total","Total","Spain","Extra-EU28 (current composition)","First time applicant","Person","2016","15,570",""
"Total","Total","France","Extra-EU28 (current composition)","Asylum applicant","Person","2016","84,270",""
"Total","Total","France","Extra-EU28 (current composition)","First time applicant","Person","2016","76,790",""
"Total","Total","Croatia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,225",""
"Total","Total","Croatia","Extra-EU28 (current composition)","First time applicant","Person","2016","2,150",""
"Total","Total","Italy","Extra-EU28 (current composition)","Asylum applicant","Person","2016","122,960",""
"Total","Total","Italy","Extra-EU28 (current composition)","First time applicant","Person","2016","121,185",""
"Total","Total","Cyprus","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,940",""
"Total","Total","Cyprus","Extra-EU28 (current composition)","First time applicant","Person","2016","2,840",""
"Total","Total","Latvia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","350",""
"Total","Total","Latvia","Extra-EU28 (current composition)","First time applicant","Person","2016","345",""
"Total","Total","Lithuania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","430",""
"Total","Total","Lithuania","Extra-EU28 (current composition)","First time applicant","Person","2016","415",""
"Total","Total","Luxembourg","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,160",""
"Total","Total","Luxembourg","Extra-EU28 (current composition)","First time applicant","Person","2016","2,065",""
"Total","Total","Hungary","Extra-EU28 (current composition)","Asylum applicant","Person","2016","29,430",""
"Total","Total","Hungary","Extra-EU28 (current composition)","First time applicant","Person","2016","28,215",""
"Total","Total","Malta","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,930",""
"Total","Total","Malta","Extra-EU28 (current composition)","First time applicant","Person","2016","1,735",""
"Total","Total","Netherlands","Extra-EU28 (current composition)","Asylum applicant","Person","2016","20,945",""
"Total","Total","Netherlands","Extra-EU28 (current composition)","First time applicant","Person","2016","19,285",""
"Total","Total","Austria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","42,255",""
"Total","Total","Austria","Extra-EU28 (current composition)","First time applicant","Person","2016","39,875",""
"Total","Total","Poland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","12,305",""
"Total","Total","Poland","Extra-EU28 (current composition)","First time applicant","Person","2016","9,780",""
"Total","Total","Portugal","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,460",""
"Total","Total","Portugal","Extra-EU28 (current composition)","First time applicant","Person","2016","710",""
"Total","Total","Romania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,880",""
"Total","Total","Romania","Extra-EU28 (current composition)","First time applicant","Person","2016","1,855",""
"Total","Total","Slovenia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,310",""
"Total","Total","Slovenia","Extra-EU28 (current composition)","First time applicant","Person","2016","1,265",""
"Total","Total","Slovakia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","145",""
"Total","Total","Slovakia","Extra-EU28 (current composition)","First time applicant","Person","2016","100",""
"Total","Total","Finland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5,605",""
"Total","Total","Finland","Extra-EU28 (current composition)","First time applicant","Person","2016","5,275",""
"Total","Total","Sweden","Extra-EU28 (current composition)","Asylum applicant","Person","2016","28,790",""
"Total","Total","Sweden","Extra-EU28 (current composition)","First time applicant","Person","2016","22,330",""
"Total","Total","United Kingdom","Extra-EU28 (current composition)","Asylum applicant","Person","2016","39,735",""
"Total","Total","United Kingdom","Extra-EU28 (current composition)","First time applicant","Person","2016","39,240",""
"Total","Total","Iceland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,125",""
"Total","Total","Iceland","Extra-EU28 (current composition)","First time applicant","Person","2016","1,100",""
"Total","Total","Liechtenstein","Extra-EU28 (current composition)","Asylum applicant","Person","2016","80",""
"Total","Total","Liechtenstein","Extra-EU28 (current composition)","First time applicant","Person","2016","75",""
"Total","Total","Norway","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,485",""
"Total","Total","Norway","Extra-EU28 (current composition)","First time applicant","Person","2016","3,240",""
"Total","Total","Switzerland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","27,140",""
"Total","Total","Switzerland","Extra-EU28 (current composition)","First time applicant","Person","2016","25,820",""
"Total","Total","Total","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,292,740",""
"Total","Total","Total","Extra-EU28 (current composition)","First time applicant","Person","2016","1,236,285",""
"Total","Less than 14 years","European Union (current composition)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","292,155",""
"Total","Less than 14 years","European Union (current composition)","Extra-EU28 (current composition)","First time applicant","Person","2016","282,520",""
"Total","Less than 14 years","Belgium","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,790",""
"Total","Less than 14 years","Belgium","Extra-EU28 (current composition)","First time applicant","Person","2016","3,195",""
"Total","Less than 14 years","Bulgaria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,565",""
"Total","Less than 14 years","Bulgaria","Extra-EU28 (current composition)","First time applicant","Person","2016","3,535",""
"Total","Less than 14 years","Czech Republic","Extra-EU28 (current composition)","Asylum applicant","Person","2016","220",""
"Total","Less than 14 years","Czech Republic","Extra-EU28 (current composition)","First time applicant","Person","2016","195",""
"Total","Less than 14 years","Denmark","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,085",""
"Total","Less than 14 years","Denmark","Extra-EU28 (current composition)","First time applicant","Person","2016","1,070",""
"Total","Less than 14 years","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","201,555",""
"Total","Less than 14 years","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","First time applicant","Person","2016","195,855",""
"Total","Less than 14 years","Estonia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","60",""
"Total","Less than 14 years","Estonia","Extra-EU28 (current composition)","First time applicant","Person","2016","55",""
"Total","Less than 14 years","Ireland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","475",""
"Total","Less than 14 years","Ireland","Extra-EU28 (current composition)","First time applicant","Person","2016","475",""
"Total","Less than 14 years","Greece","Extra-EU28 (current composition)","Asylum applicant","Person","2016","14,805",""
"Total","Less than 14 years","Greece","Extra-EU28 (current composition)","First time applicant","Person","2016","14,735",""
"Total","Less than 14 years","Spain","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,205",""
"Total","Less than 14 years","Spain","Extra-EU28 (current composition)","First time applicant","Person","2016","3,185",""
"Total","Less than 14 years","France","Extra-EU28 (current composition)","Asylum applicant","Person","2016","13,155",""
"Total","Less than 14 years","France","Extra-EU28 (current composition)","First time applicant","Person","2016","13,100",""
"Total","Less than 14 years","Croatia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","255",""
"Total","Less than 14 years","Croatia","Extra-EU28 (current composition)","First time applicant","Person","2016","255",""
"Total","Less than 14 years","Italy","Extra-EU28 (current composition)","Asylum applicant","Person","2016","4,925",""
"Total","Less than 14 years","Italy","Extra-EU28 (current composition)","First time applicant","Person","2016","4,840",""
"Total","Less than 14 years","Cyprus","Extra-EU28 (current composition)","Asylum applicant","Person","2016","440",""
"Total","Less than 14 years","Cyprus","Extra-EU28 (current composition)","First time applicant","Person","2016","440",""
"Total","Less than 14 years","Latvia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","110",""
"Total","Less than 14 years","Latvia","Extra-EU28 (current composition)","First time applicant","Person","2016","110",""
"Total","Less than 14 years","Lithuania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","140",""
"Total","Less than 14 years","Lithuania","Extra-EU28 (current composition)","First time applicant","Person","2016","135",""
"Total","Less than 14 years","Luxembourg","Extra-EU28 (current composition)","Asylum applicant","Person","2016","510",""
"Total","Less than 14 years","Luxembourg","Extra-EU28 (current composition)","First time applicant","Person","2016","715",""
